LotFrontage,LotArea,Street,Alley,LotShape,Condition1,Condition2,OverallQual,RoofStyle,RoofMatl,MasVnrArea,ExterQual,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,BsmtFullBath,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,3SsnPorch,MiscFeature,SaleType,Neighborhood,PoolQC,KitchenQual,Utilities,SalePrice
73,9069,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,0,TA,Av,936,Ex,Y,996,1,1,0,5,0,2,Y,120,0,0,NA,WD,SawyerW,NA,Gd,AllPub,147000
-1,12342,Pave,NaN,IR1,Norm,Norm,5,Hip,CompShg,0,TA,No,978,TA,Y,1422,0,1,0,6,1,1,Y,0,0,0,Shed,WD,NWAmes,NA,TA,AllPub,139900
-1,9248,Pave,NaN,IR1,Norm,Norm,6,Gable,CompShg,106,TA,No,1158,Gd,Y,1167,1,2,0,6,0,2,Y,120,26,0,NA,WD,Gilbert,NA,Gd,AllPub,173000
-1,13346,Pave,NaN,IR1,Norm,Norm,7,Gable,CompShg,0,Gd,No,1095,Ex,Y,2295,1,2,1,9,1,2,Y,0,40,0,NA,WD,NoRidge,NA,Gd,AllPub,268000
50,9405,Pave,NaN,Reg,Norm,Norm,5,Hip,CompShg,0,TA,No,698,Ex,Y,698,0,1,0,4,0,0,Y,0,200,0,NA,WD,Edwards,NA,TA,AllPub,118000
66,8738,Pave,NaN,IR1,Norm,Norm,7,Gable,CompShg,302,Gd,No,975,Ex,Y,2291,0,2,1,8,1,2,Y,192,0,0,NA,WD,Gilbert,NA,Gd,AllPub,230000
137,16492,Pave,NaN,IR1,PosA,Norm,6,Gable,CompShg,0,Gd,No,1517,Ex,Y,1888,0,2,1,6,1,2,Y,0,0,0,NA,WD,NWAmes,NA,Gd,AllPub,190000
-1,11000,Pave,NaN,IR1,Norm,Norm,5,Gable,CompShg,200,TA,Mn,1154,Ex,Y,1154,0,1,1,6,1,2,Y,0,58,0,NA,WD,NWAmes,NA,TA,AllPub,154000
36,2628,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,106,Gd,No,764,Ex,Y,1626,0,2,1,6,0,2,Y,0,27,0,NA,WD,NridgHt,NA,Gd,AllPub,175500
50,8765,Pave,Grvl,Reg,Norm,Norm,4,Gable,CompShg,0,TA,No,951,Ex,N,951,0,1,0,6,0,1,Y,0,28,0,NA,WD,IDOTRR,NA,TA,AllPub,106500
60,5586,Pave,NaN,IR1,Feedr,Norm,6,Gable,CompShg,0,TA,No,901,Gd,Y,1198,0,1,0,7,0,0,N,0,98,0,NA,ConLD,OldTown,NA,TA,AllPub,79900
50,8012,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,0,Gd,No,1604,Ex,Y,1617,1,2,0,5,1,2,Y,0,69,0,NA,WD,SawyerW,NA,Gd,AllPub,193000
-1,9900,Pave,NaN,Reg,Feedr,Norm,7,Gable,CompShg,342,TA,No,832,Gd,Y,1978,0,2,1,9,1,2,Y,0,43,0,NA,WD,NWAmes,NA,TA,AllPub,176000
76,9880,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,0,TA,Av,1096,TA,Y,1118,1,1,0,6,1,1,Y,203,0,0,NA,WD,Mitchel,Gd,TA,AllPub,171000
75,9525,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,0,TA,No,994,Gd,Y,1855,0,2,0,7,0,1,Y,182,0,0,NA,WD,Edwards,NA,TA,AllPub,136900
60,5400,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,No,691,Ex,Y,691,0,1,0,4,0,1,N,0,20,0,NA,WD,OldTown,NA,Ex,AllPub,86000
-1,4438,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,169,Gd,Gd,848,Ex,Y,848,1,1,0,4,1,2,Y,140,0,0,NA,ConLD,CollgCr,NA,Gd,AllPub,144500
-1,6820,Pave,NaN,IR1,Norm,Norm,8,Gable,CompShg,0,Gd,Av,1488,TA,Y,1502,1,1,1,4,0,2,Y,0,54,0,NA,WD,StoneBr,NA,Gd,AllPub,212000
48,17043,Pave,NaN,IR1,Norm,Norm,6,Gable,CompShg,0,TA,No,1362,TA,Y,1586,0,2,0,7,1,2,Y,192,0,0,NA,WD,NWAmes,NA,TA,AllPub,181000
85,9187,Pave,NaN,Reg,Norm,Norm,9,Gable,CompShg,162,Ex,Mn,1766,Ex,Y,1766,1,2,1,7,1,3,Y,195,130,0,NA,New,Somerst,NA,Ex,AllPub,370878
70,9247,Pave,NaN,IR1,Norm,Norm,6,Gable,CompShg,318,TA,No,858,Ex,Y,1716,0,1,1,8,1,2,Y,0,84,0,NA,WD,NWAmes,NA,TA,AllPub,171000
69,9920,Pave,NaN,IR1,Norm,Norm,5,Gable,CompShg,0,TA,Gd,971,TA,Y,971,0,1,1,5,1,1,Y,0,0,0,NA,WD,CollgCr,NA,TA,AllPub,128500
60,6960,Pave,NaN,Reg,Norm,Norm,4,Gable,CompShg,0,TA,No,864,TA,Y,864,0,1,0,5,0,2,Y,96,0,0,Shed,WD,NWAmes,NA,Gd,AllPub,120500
77,11198,Pave,NaN,IR1,Norm,Norm,9,Hip,CompShg,245,Gd,No,1122,Ex,Y,2504,0,2,1,11,1,3,Y,144,39,0,NA,WD,StoneBr,NA,Ex,AllPub,325000
-1,2117,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,513,Gd,No,756,Ex,Y,1512,0,2,1,4,1,2,Y,0,32,0,NA,WD,Somerst,NA,Gd,AllPub,168500
73,8499,Pave,NaN,IR1,Norm,Norm,6,Gable,CompShg,0,TA,No,616,Ex,Y,1412,0,2,1,6,1,2,Y,0,36,0,NA,New,Gilbert,NA,Gd,AllPub,156932
-1,19900,Pave,NaN,Reg,PosA,Norm,7,Gable,CompShg,287,TA,Gd,1947,TA,Y,2207,1,2,0,7,1,2,Y,301,0,0,NA,WD,NWAmes,NA,TA,AllPub,180000
-1,24682,Pave,NaN,IR3,RRAn,Norm,6,Gable,CompShg,0,TA,No,841,Ex,Y,1675,0,2,1,7,1,2,Y,0,103,0,NA,WD,Gilbert,NA,TA,AllPub,181000
21,1869,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,127,TA,No,483,TA,Y,987,0,1,1,5,0,1,Y,0,0,0,NA,WD,BrDale,NA,TA,AllPub,106000
57,6420,Pave,NaN,IR1,Norm,Norm,5,Gable,CompShg,0,TA,Mn,980,Fa,Y,1148,0,1,0,6,0,1,Y,0,0,0,NA,WD,Edwards,NA,TA,AllPub,123500
89,12898,Pave,NaN,IR1,Norm,Norm,9,Hip,CompShg,70,Gd,Gd,1620,Ex,Y,1620,1,2,0,6,1,3,Y,228,0,0,NA,WD,Timber,NA,Ex,AllPub,315500
75,11957,Pave,NaN,IR1,RRAn,Norm,8,Gable,CompShg,53,Gd,No,1574,Ex,Y,1574,0,2,0,7,1,3,Y,144,104,0,NA,WD,Somerst,NA,Gd,AllPub,232000
88,14200,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,309,TA,No,924,Ex,Y,2157,0,2,1,8,2,2,Y,105,66,0,NA,WD,NWAmes,NA,Gd,AllPub,226000
57,8280,Pave,NaN,IR1,Norm,Norm,6,Gable,CompShg,0,TA,No,932,Ex,Y,932,0,1,0,4,1,1,Y,0,0,0,NA,WD,NWAmes,NA,Gd,AllPub,124000
-1,14115,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,225,TA,Av,1372,TA,Y,1472,1,2,0,6,2,2,Y,233,48,0,NA,WD,NWAmes,NA,TA,AllPub,187500
80,9200,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,0,TA,No,1136,TA,Y,1136,1,1,0,5,1,1,Y,426,0,0,NA,WD,NWAmes,NA,TA,AllPub,140000
82,7136,Pave,NaN,IR1,Norm,Norm,6,Gable,CompShg,423,TA,No,979,TA,N,1958,0,2,0,8,0,2,Y,0,0,0,NA,WD,Crawfor,NA,TA,AllPub,145000
84,14260,Pave,NaN,IR1,Norm,Norm,8,Gable,CompShg,350,Gd,Av,1145,Ex,Y,2198,1,2,1,9,1,3,Y,192,84,0,NA,WD,NoRidge,NA,Gd,AllPub,250000
58,17104,Pave,NaN,IR1,Norm,Norm,7,Gable,CompShg,0,Gd,Av,654,Ex,Y,1496,1,2,1,7,1,2,Y,100,24,0,NA,New,Gilbert,NA,Gd,AllPub,179665
-1,15660,Pave,NaN,IR1,Norm,Norm,7,Gable,CompShg,312,Gd,No,798,Ex,Y,1954,0,1,1,8,2,2,Y,0,119,0,NA,WD,Crawfor,NA,Gd,AllPub,311500
168,23257,Pave,NaN,IR3,Norm,Norm,7,Gable,CompShg,0,Gd,No,868,Ex,Y,2021,0,2,1,9,1,2,Y,0,100,0,NA,New,Gilbert,NA,Gd,AllPub,274725
79,10289,Pave,NaN,Reg,Norm,Norm,5,Hip,CompShg,168,TA,No,1073,TA,Y,1073,1,1,1,6,0,2,Y,0,0,0,NA,WD,NWAmes,NA,TA,AllPub,156000
54,7588,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,0,TA,No,793,Gd,Y,1802,0,1,1,9,1,1,Y,0,0,0,NA,WD,Crawfor,NA,TA,AllPub,200100
68,9571,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,Av,1144,TA,Y,1144,1,1,0,6,0,1,Y,44,0,0,NA,WD,Edwards,NA,TA,AllPub,129000
77,9786,Pave,NaN,IR1,Norm,Norm,6,Gable,CompShg,0,TA,No,912,TA,Y,1734,0,1,1,7,1,2,Y,0,0,0,NA,WD,NWAmes,NA,Gd,AllPub,159000
-1,17542,Pave,NaN,IR1,Norm,Norm,7,Gable,CompShg,0,Gd,Gd,1192,TA,Y,2167,1,2,1,9,2,2,Y,220,47,0,NA,WD,Veenker,NA,Gd,AllPub,294000
85,6970,Pave,NaN,Reg,Feedr,Norm,4,Gable,CompShg,0,TA,No,1040,TA,Y,1120,1,1,1,5,0,2,Y,168,0,0,Shed,WD,Sawyer,NA,Fa,AllPub,129000
-1,2117,Pave,NaN,Reg,Norm,Norm,6,Gable,CompShg,456,Gd,No,756,Ex,Y,1525,0,2,1,5,1,2,Y,0,0,0,NA,WD,Somerst,NA,Gd,AllPub,177000
43,3182,Pave,NaN,Reg,Norm,Norm,8,Gable,CompShg,16,Gd,No,1256,Ex,Y,1269,0,2,0,6,1,2,Y,146,20,0,NA,WD,Blmngtn,NA,Gd,AllPub,192000
60,6000,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,No,1008,Ex,Y,1522,0,2,0,7,0,0,P,0,0,0,NA,WD,SWISU,NA,TA,AllPub,102000
60,7200,Pave,NaN,Reg,Norm,Norm,4,Gable,CompShg,0,TA,NA,0,Fa,N,1040,0,2,0,6,0,2,Y,0,0,0,NA,WD,NWAmes,NA,TA,AllPub,90000
80,10000,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,No,1176,Gd,Y,1178,0,1,1,5,1,2,Y,224,0,0,NA,WD,NWAmes,NA,Gd,AllPub,157000
-1,12227,Pave,NaN,IR1,PosN,Norm,6,Gable,CompShg,424,TA,No,1330,TA,Y,2872,1,2,1,11,1,2,Y,550,282,0,NA,WD,NWAmes,NA,TA,AllPub,272000
-1,7390,Pave,NaN,IR1,Norm,Norm,5,Hip,CompShg,151,TA,No,1098,TA,Y,1098,1,1,0,6,0,1,Y,0,0,0,NA,WD,NWAmes,NA,TA,AllPub,135000
51,6120,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,No,768,TA,N,1015,0,1,0,6,0,1,Y,0,0,0,Shed,WD,BrkSide,NA,TA,AllPub,88000
82,6270,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,No,1001,TA,N,2002,0,2,0,8,0,3,Y,0,0,0,NA,WD,Crawfor,NA,TA,AllPub,145000
78,12011,Pave,NaN,IR1,Norm,Norm,8,Gable,CompShg,530,Gd,Av,1086,Ex,Y,1924,1,2,1,7,1,2,Y,208,75,0,NA,WD,NoRidge,NA,Gd,AllPub,280000
50,5500,Pave,NaN,Reg,Norm,Norm,5,Gable,CompShg,0,TA,No,926,TA,Y,1316,1,1,0,6,0,2,Y,0,0,0,NA,WD,OldTown,NA,TA,AllPub,130000
-1,5100,Pave,Grvl,Reg,Norm,Norm,8,Hip,CompShg,0,TA,No,588,Fa,Y,1666,0,1,0,7,1,1,Y,192,63,0,NA,WD,OldTown,NA,Gd,AllPub,161000
-1,29959,Pave,NaN,IR2,Norm,Norm,7,Gable,CompShg,0,Gd,No,973,Ex,Y,1850,0,2,1,7,1,2,Y,168,98,0,NA,WD,NoRidge,NA,Gd,AllPub,248000
68,8814,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,180,Gd,No,1604,Ex,Y,1604,1,2,1,8,1,2,Y,123,110,0,NA,WD,CollgCr,NA,Gd,AllPub,220000
-1,26142,Pave,NaN,IR1,Norm,Norm,5,Gable,CompShg,189,TA,No,1188,TA,Y,1188,0,1,0,6,0,1,P,261,39,0,NA,WD,Mitchel,NA,TA,AllPub,157900
52,6292,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,0,TA,No,861,Gd,Y,1477,0,2,0,6,1,1,Y,0,50,0,NA,WD,SWISU,NA,TA,AllPub,145000
78,11645,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,0,Gd,Av,1734,Ex,Y,1734,1,2,0,7,0,2,Y,160,24,0,NA,WD,CollgCr,NA,Gd,AllPub,260000
-1,19690,Pave,NaN,IR1,Norm,Norm,6,Flat,Tar&Grv,0,Gd,Av,697,TA,Y,2201,0,2,0,8,1,2,Y,586,236,0,NA,WD,Edwards,Gd,Gd,AllPub,274970
51,6120,Pave,NaN,Reg,Norm,Norm,2,Gable,CompShg,0,Fa,No,264,Fa,N,800,0,1,0,4,1,0,N,0,0,0,NA,ConLw,BrkSide,NA,Fa,AllPub,60000
55,7264,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,0,Gd,No,952,Gd,N,1548,0,2,1,5,0,2,Y,74,0,0,NA,WD,BrkSide,NA,Ex,AllPub,205000
50,5925,Pave,NaN,Reg,Norm,Norm,3,Gable,CompShg,0,TA,No,600,Fa,N,968,0,1,0,6,0,0,Y,0,0,0,NA,WD,OldTown,NA,TA,AllPub,37900
50,5119,Pave,NaN,IR1,Norm,Norm,9,Gable,CompShg,60,Gd,Av,1698,Ex,Y,1709,1,2,0,5,1,2,Y,97,65,0,NA,CWD,Somerst,NA,Gd,AllPub,328900
75,10215,Pave,NaN,Reg,Norm,Norm,4,Hip,CompShg,132,TA,No,864,Ex,Y,948,0,1,0,5,0,1,Y,0,0,0,NA,WD,Edwards,NA,TA,AllPub,111000
-1,9790,Pave,NaN,Reg,Feedr,Norm,6,Hip,CompShg,451,TA,No,1328,TA,Y,1328,1,1,1,6,2,2,Y,0,26,0,NA,WD,NWAmes,NA,TA,AllPub,143000
-1,10020,Pave,NaN,IR1,Norm,Norm,1,Gable,CompShg,0,Fa,Gd,683,Gd,N,904,1,0,1,4,0,0,Y,0,0,0,NA,WD,Edwards,NA,Fa,AllPub,61000
65,8450,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,196,Gd,No,856,Ex,Y,1710,1,2,1,8,0,2,Y,0,61,0,NA,WD,CollgCr,NA,Gd,AllPub,208500
121,16059,Pave,NaN,Reg,Norm,Norm,8,Hip,CompShg,284,Gd,No,1288,Ex,Y,2417,0,2,1,9,1,2,Y,127,82,0,NA,WD,NoRidge,NA,Gd,AllPub,260000
57,9906,Pave,Grvl,Reg,Norm,Norm,4,Gable,CompShg,0,TA,No,686,Fa,N,1328,0,1,0,8,0,1,Y,0,172,0,NA,WD,OldTown,NA,TA,AllPub,107000
72,8640,Pave,NaN,Reg,Norm,Norm,8,Gable,CompShg,72,Gd,Mn,1300,Ex,Y,1314,1,2,0,6,0,2,Y,135,112,0,NA,New,Somerst,NA,Gd,AllPub,229456
63,7500,Pave,NaN,Reg,Norm,Norm,7,Gable,CompShg,120,TA,No,1080,Ex,Y,1080,1,1,0,6,0,0,Y,0,0,0,NA,WD,SawyerW,NA,Gd,AllPub,141000
67,8777,Pave,NaN,Reg,Feedr,Norm,5,Gable,CompShg,0,TA,No,796,Gd,Y,796,0,1,0,4,0,0,P,328,0,0,NA,WD,Edwards,NA,TA,AllPub,85000
